CD_DIST,NM_DIST,pop_buffer
355030805,Artur Alvim,22
355030806,Barra Funda,3020
355030807,Bela Vista,1343
355030811,Brasilândia,18440
355030813,Cachoeirinha,1511
355030816,Campo Grande,8765
355030817,Campo Limpo,8745
355030819,Capão Redondo,8889
355030821,Casa Verde,2159
355030822,Cidade Ademar,7370
355030823,Cidade Dutra,10209
355030827,Cursino,0
355030828,Ermelino Matarazzo,3218
355030829,Freguesia do Ó,5509
355030830,Grajaú,1509
355030831,Guaianases,246
355030832,Moema,95
355030835,Itaim Bibi,4530
355030836,Itaim Paulista,18497
355030837,Itaquera,15247
355030838,Jabaquara,6818
355030840,Jaguara,2668
355030842,Jaraguá,8026
355030843,Jardim Ângela,1573
355030845,Jardim Paulista,540
355030846,Jardim São Luís,9777
355030847,José Bonifácio,1990
355030848,Lapa,8347
355030850,Limão,883
355030851,Mandaqui,138
355030854,Morumbi,124
355030855,Parelheiros,0
355030858,Pedreira,9995
355030859,Penha,9050
355030860,Perdizes,376
355030863,Pirituba,171
355030864,Ponte Rasa,12745
355030866,República,5783
355030869,Santa Cecília,5428
355030870,Santana,5342
355030871,Santo Amaro,1993
355030874,São Miguel,6428
355030877,Saúde,3838
355030879,Socorro,3808
355030883,Vila Andrade,1400
355030884,Vila Curuçá,12396
355030887,Vila Jacuí,1964
355030888,Vila Leopoldina,27
355030890,Vila Mariana,550
355030891,Vila Matilde,460
355030895,São Domingos,47
355030896,Lajeado,9336
